,App,Category,Rating,Reviews,Size,Label,Paid,Price,Last Updated,Adults only 18+,Everyone,Everyone 10+,Mature 17+,Teen,Unrated
4541,.R,TOOLS,4.5,259,203,1,0,0.0,2014-09-16,False,True,False,False,False,False
1393,10 Best Foods for You,HEALTH AND FITNESS,4.0,2490,38000,2,0,0.0,2017-02-17,False,False,True,False,False,False
8483,10 Minutes a Day Times Tables,FAMILY,4.1,681,48000,2,0,0.0,2014-07-03,False,True,False,False,False,False
8219,"10,000 Quotes DB (Premium)",BOOKS AND REFERENCE,4.1,70,35000,0,1,0.99,2013-08-30,False,True,False,False,False,False
4030,100+ C Programs,FAMILY,4.2,20,16000,0,0,0.0,2017-01-03,False,True,False,False,False,False
8703,"100000+ Messages - DP, Status, Jokes & GIF 2018",LIFESTYLE,3.7,121,38000,1,0,0.0,2017-12-29,False,False,False,True,False,False
4026,101 C Programming Problems,FAMILY,4.6,498,50000,1,0,0.0,2017-10-15,False,True,False,False,False,False
5344,12 Step Meditations & Sober Prayers AA NA AL-ANON,LIFESTYLE,4.7,759,15000,1,0,0.0,2018-01-22,False,False,True,False,False,False
6760,17th Edition Cable Sizer,BOOKS AND REFERENCE,4.4,47,14000,0,1,3.08,2016-05-27,False,True,False,False,False,False
7993,2 Amateur ham radio CW Morse code practice keys TX,COMMUNICATION,4.8,6,35000,0,1,1.49,2018-03-05,False,True,False,False,False,False
2256,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,38000,0,1,16.99,2017-01-27,False,True,False,False,False,False
9809,2019 Tricks Es File Explores,TOOLS,3.0,4,20000,0,0,0.0,2016-03-16,False,True,False,False,False,False
4272,2048 BTS J Hope KPop Puzzle Game,FAMILY,4.7,17,24000,0,0,0.0,2017-09-26,False,True,False,False,False,False
5205,2048(AI),FAMILY,4.3,20,35000,0,0,0.0,2015-06-03,False,True,False,False,False,False
7475,211:CK Lite,GAME,4.3,3,39000,0,0,0.0,2017-09-22,False,False,False,True,False,False
6353,24 megapixel hd camera,PHOTOGRAPHY,4.0,802,51000,2,0,0.0,2017-05-03,False,True,False,False,False,False
7050,24/7 BZ Reis,TRAVEL AND LOCAL,3.1,421,53000,2,0,0.0,2018-03-09,False,True,False,False,False,False
4891,30 Day AB Challenge - Lumowell,HEALTH AND FITNESS,4.8,793,40000,1,0,0.0,2016-09-15,False,True,False,False,False,False
4855,30 Day Ab Challenge,HEALTH AND FITNESS,4.5,1886,76000,2,0,0.0,2016-06-21,False,True,False,False,False,False
4875,30 Day Ab Challenge FREE,HEALTH AND FITNESS,4.3,48253,0,2,0,0.0,2017-12-13,False,True,False,False,False,False
4897,30-Day Ab Challenge Tracker,HEALTH AND FITNESS,3.5,224,371,1,0,0.0,2014-07-09,False,True,False,False,False,False
17,350 Diy Room Decor Ideas,ART AND DESIGN,4.5,27,17000,1,0,0.0,2017-11-07,False,True,False,False,False,False
4356,360-M Flight,TOOLS,3.9,84,24000,1,0,0.0,2017-12-14,False,True,False,False,False,False
4054,3D Bowling,SPORTS,4.1,1076243,13000,2,0,0.0,2018-01-18,False,True,False,False,False,False
